Name,Year2019,Rates
Alabama,RBIRTH2019,11.70744243
Alaska,RBIRTH2019,13.67847471
Arizona,RBIRTH2019,11.35186951
Arkansas,RBIRTH2019,12.15753632
California,RBIRTH2019,11.71570662
Colorado,RBIRTH2019,11.27054505
Connecticut,RBIRTH2019,9.686965053
Delaware,RBIRTH2019,11.01770124
District of Columbia,RBIRTH2019,13.49112056
Florida,RBIRTH2019,10.3784804
Georgia,RBIRTH2019,12.10428314
Hawaii,RBIRTH2019,11.90072855
Idaho,RBIRTH2019,12.5621855
Illinois,RBIRTH2019,11.36441139
Indiana,RBIRTH2019,12.02155303
Iowa,RBIRTH2019,11.9523682
Kansas,RBIRTH2019,12.17476071
Kentucky,RBIRTH2019,11.97716251
Louisiana,RBIRTH2019,12.56874911
Maine,RBIRTH2019,8.998725063
Maryland,RBIRTH2019,11.60304671
Massachusetts,RBIRTH2019,10.2240718
Michigan,RBIRTH2019,10.96313547
Minnesota,RBIRTH2019,12.0296489
Mississippi,RBIRTH2019,12.07889184
Missouri,RBIRTH2019,11.63173234
Montana,RBIRTH2019,10.91177364
Nebraska,RBIRTH2019,13.13101324
Nevada,RBIRTH2019,11.76652236
New Hampshire,RBIRTH2019,8.848670341
New Jersey,RBIRTH2019,11.19988699
New Mexico,RBIRTH2019,11.03931907
New York,RBIRTH2019,11.43671779
North Carolina,RBIRTH2019,11.4235476
North Dakota,RBIRTH2019,13.86186291
Ohio,RBIRTH2019,11.49483975
Oklahoma,RBIRTH2019,12.34841791
Oregon,RBIRTH2019,10.31117706
Pennsylvania,RBIRTH2019,10.5605179
Rhode Island,RBIRTH2019,9.898717823
South Carolina,RBIRTH2019,11.01411432
South Dakota,RBIRTH2019,13.50945951
Tennessee,RBIRTH2019,11.79915454
Texas,RBIRTH2019,13.14245473
Utah,RBIRTH2019,15.2974098
Vermont,RBIRTH2019,8.941424139
Virginia,RBIRTH2019,11.55181385
Washington,RBIRTH2019,11.61917996
West Virginia,RBIRTH2019,9.947620396
Wisconsin,RBIRTH2019,10.95664257
Wyoming,RBIRTH2019,11.4168598
Puerto Rico,RBIRTH2019,6.709829017
Alabama,RDEATH2019,11.0059723
Alaska,RDEATH2019,6.571285976
Arizona,RDEATH2019,8.384579318
Arkansas,RDEATH2019,10.39296814
California,RDEATH2019,7.154776917
Colorado,RDEATH2019,6.832475358
Connecticut,RDEATH2019,8.729113734
Delaware,RDEATH2019,9.75019634
District of Columbia,RDEATH2019,8.067954432
Florida,RDEATH2019,9.91019767
Georgia,RDEATH2019,8.170838383
Hawaii,RDEATH2019,8.98865313
Idaho,RDEATH2019,7.523742785
Illinois,RDEATH2019,8.663474529
Indiana,RDEATH2019,9.260696309
Iowa,RDEATH2019,9.140363546
Kansas,RDEATH2019,8.66314727
Kentucky,RDEATH2019,10.32028175
Louisiana,RDEATH2019,9.957153066
Maine,RDEATH2019,10.68472822
Maryland,RDEATH2019,8.517663644
Massachusetts,RDEATH2019,8.502854926
Michigan,RDEATH2019,9.612271918
Minnesota,RDEATH2019,7.682812934
Mississippi,RDEATH2019,10.58757944
Missouri,RDEATH2019,9.811689339
Montana,RDEATH2019,9.270029768
Nebraska,RDEATH2019,8.073529115
Nevada,RDEATH2019,8.386414271
New Hampshire,RDEATH2019,8.937864702
New Jersey,RDEATH2019,8.523422302
New Mexico,RDEATH2019,8.777989149
New York,RDEATH2019,8.455641907
North Carolina,RDEATH2019,9.038175395
North Dakota,RDEATH2019,8.222916017
Ohio,RDEATH2019,10.07898802
Oklahoma,RDEATH2019,10.19753062
Oregon,RDEATH2019,8.705866918
Pennsylvania,RDEATH2019,10.42373658
Rhode Island,RDEATH2019,9.25744033
South Carolina,RDEATH2019,9.917843186
South Dakota,RDEATH2019,8.321627441
Tennessee,RDEATH2019,9.996025971
Texas,RDEATH2019,7.038181142
Utah,RDEATH2019,5.485644487
Vermont,RDEATH2019,9.026336427
Virginia,RDEATH2019,8.185689746
Washington,RDEATH2019,7.739998819
West Virginia,RDEATH2019,12.54963939
Wisconsin,RDEATH2019,8.666155338
Wyoming,RDEATH2019,8.597668546
Puerto Rico,RDEATH2019,9.024826493
Alabama,RNETMIG2019,2.483743522
Alaska,RNETMIG2019,-12.03122145
Arizona,RNETMIG2019,13.68716111
Arkansas,RNETMIG2019,0.923428591
California,RNETMIG2019,-3.276681177
Colorado,RNETMIG2019,7.311426361
Connecticut,RNETMIG2019,-2.728391002
Delaware,RNETMIG2019,7.254377095
District of Columbia,RNETMIG2019,0.569887216
Florida,RNETMIG2019,10.4202855
Georgia,RNETMIG2019,6.127537171
Hawaii,RNETMIG2019,-6.207021768
Idaho,RNETMIG2019,15.56252387
Illinois,RNETMIG2019,-6.755453026
Indiana,RNETMIG2019,2.737025418
Iowa,RNETMIG2019,-0.744960728
Kansas,RNETMIG2019,-2.833807151
Kentucky,RNETMIG2019,-0.173819044
Louisiana,RNETMIG2019,-4.942802716
Maine,RNETMIG2019,5.564108556
Maryland,RNETMIG2019,-1.432605702
Massachusetts,RNETMIG2019,-0.268309472
Michigan,RNETMIG2019,-1.053931943
Minnesota,RNETMIG2019,1.632242063
Mississippi,RNETMIG2019,-3.125981486
Missouri,RNETMIG2019,0.781952861
Montana,RNETMIG2019,5.960244064
Nebraska,RNETMIG2019,-0.47927188
Nevada,RNETMIG2019,13.83119795
New Hampshire,RNETMIG2019,4.729512571
New Jersey,RNETMIG2019,-3.113649852
New Mexico,RNETMIG2019,-0.281651816
New York,RNETMIG2019,-6.920598425
North Carolina,RNETMIG2019,7.812474919
North Dakota,RNETMIG2019,-0.415750634
Ohio,RNETMIG2019,-0.287861034
Oklahoma,RNETMIG2019,2.103528767
Oregon,RNETMIG2019,6.932692098
Pennsylvania,RNETMIG2019,-0.004374503
Rhode Island,RNETMIG2019,0.406110931
South Carolina,RNETMIG2019,11.48416818
South Dakota,RNETMIG2019,1.567464785
Tennessee,RNETMIG2019,6.661664512
Texas,RNETMIG2019,6.618845958
Utah,RNETMIG2019,6.656804269
Vermont,RNETMIG2019,-0.479033474
Virginia,RNETMIG2019,0.673013514
Washington,RNETMIG2019,8.135275527
West Virginia,RNETMIG2019,-4.127417183
Wisconsin,RNETMIG2019,0.327261596
Wyoming,RNETMIG2019,-0.819813899
Puerto Rico,RNETMIG2019,2.421462936